"State","Year","temperature (Celsius) (AVG)"
"NY","1896",10.8491
"OH","1896",13.502
"OK","1896",21.3656
"OR","1896",16.7329
"PA","1896",13.6338
"RI","1896",12.9393
"SC","1896",20.759
"SD","1896",11.5534
"TN","1896",17.958
"TX","1896",23.0383
"UT","1896",16.7033
"VA","1896",16.5365
"VT","1896",8.3681
"WA","1896",14.7963
"WI","1896",10.8563
"WV","1896",14.3552
"WY","1896",10.9679
"NJ","1866",15.7767
